FID,Shape *,Evento,PC1_woe,PC2_woe,V2X_woe,X1R_woe,X3R_woe
350,Point ZM,1,-0.873904,0.304827,1.20354,0.165285,0.543944
352,Point ZM,1,-0.873904,0.616158,1.20354,0.165285,0.543944
354,Point ZM,1,0.965277,0.304827,1.20354,0.165285,0.083882
357,Point ZM,1,0.496723,-0.159533,1.20354,0.165285,0.083882
358,Point ZM,1,0.496723,0.616158,1.20354,0.165285,0.083882
362,Point ZM,1,0.965277,0.304827,-0.682033,0.165285,0.083882
363,Point ZM,1,-0.431997,0.304827,1.20354,0.165285,0.083882
365,Point ZM,1,-0.873904,-0.159533,-0.682033,0.165285,0.083882
366,Point ZM,1,-1.11444,-0.186688,-0.682033,0.165285,0.543944
370,Point ZM,1,0.965277,0.616158,0.341524,0.165285,0.083882
372,Point ZM,1,-0.431997,-0.186688,0.143557,0.165285,0.543944
373,Point ZM,1,-0.431997,-0.186688,0.143557,0.165285,0.543944
377,Point ZM,1,0.965277,0.304827,-0.202755,0.165285,0.17043
380,Point ZM,1,0.965277,0.304827,-0.202755,0.165285,-0.809453
381,Point ZM,1,0.496723,0.304827,1.20354,0.165285,0.543944
382,Point ZM,1,0.496723,-0.159533,1.20354,0.165285,0.543944
383,Point ZM,1,0.965277,0.304827,1.20354,0.165285,0.543944
384,Point ZM,1,0.496723,0.304827,1.20354,0.165285,0.543944
386,Point ZM,1,0.496723,0.616158,1.20354,0.165285,-0.809453
387,Point ZM,1,0.965277,-0.159533,1.20354,0.165285,0.17043
388,Point ZM,1,0.496723,0.616158,1.20354,0.165285,0.17043
390,Point ZM,1,0.965277,0.304827,1.20354,0.165285,0.17043
391,Point ZM,1,0.965277,-0.186688,1.20354,0.165285,0.17043
392,Point ZM,1,0.965277,0.616158,1.20354,0.165285,0.17043
393,Point ZM,1,0.965277,0.616158,1.20354,0.165285,0.083882
394,Point ZM,1,0.496723,0.304827,1.20354,0.165285,0.083882
395,Point ZM,1,0.965277,0.616158,1.20354,0.165285,0.083882
401,Point ZM,1,0.965277,0.616158,1.20354,0.165285,0.543944
402,Point ZM,1,0.965277,-0.159533,1.20354,0.165285,0.543944
403,Point ZM,1,0.496723,-0.159533,1.20354,0.165285,0.543944
407,Point ZM,1,0.965277,-1.03019,1.20354,0.165285,0.083882
408,Point ZM,1,0.965277,-0.186688,1.20354,0.165285,0.543944
409,Point ZM,1,0.965277,-1.03019,1.20354,0.165285,0.083882
414,Point ZM,1,0.965277,-0.186688,-0.657437,0.165285,0.543944
415,Point ZM,1,0.965277,-0.186688,-0.657437,0.165285,0.083882
416,Point ZM,1,0.965277,0.616158,-0.657437,0.165285,0.083882
421,Point ZM,1,0.496723,0.616158,-0.657437,0.165285,0.083882
422,Point ZM,1,0.496723,0.616158,-0.657437,0.165285,0.083882
425,Point ZM,1,0.496723,0.304827,-0.657437,0.165285,0.083882
428,Point ZM,1,0.496723,0.616158,-0.202755,0.165285,0.543944
429,Point ZM,1,-0.431997,-0.159533,-0.202755,0.165285,0.083882
439,Point ZM,1,0.965277,0.616158,-0.682033,0.165285,0.17043
441,Point ZM,1,0.496723,0.616158,1.02094,0.165285,0.083882
443,Point ZM,1,0.496723,0.616158,1.02094,0.165285,-0.809453
446,Point ZM,1,0.496723,0.304827,1.02094,0.165285,0.083882
448,Point ZM,1,0.496723,0.616158,1.02094,0.165285,0.543944
449,Point ZM,1,0.496723,-0.159533,1.02094,0.165285,-0.809453
450,Point ZM,1,0.496723,-1.03019,1.02094,0.165285,-0.809453
452,Point ZM,1,-0.431997,-0.159533,1.02094,0.165285,0.543944
458,Point ZM,1,0.965277,0.304827,-1.54559,0.165285,0.543944
461,Point ZM,1,0.496723,-0.159533,-1.54559,0.165285,0.543944
463,Point ZM,1,0.496723,-1.03019,-1.54559,0.165285,0.543944
464,Point ZM,1,0.496723,-1.03019,-1.54559,0.165285,0.543944
465,Point ZM,1,0.965277,0.304827,1.02094,0.165285,-0.809453
466,Point ZM,1,0.496723,-0.186688,1.02094,0.165285,0.17043
474,Point ZM,1,0.496723,-1.03019,1.02094,0.165285,0.543944
475,Point ZM,1,0.496723,-1.03019,1.02094,0.165285,0.543944
476,Point ZM,1,0.965277,-0.186688,1.02094,0.165285,0.543944
480,Point ZM,1,-0.431997,0.304827,1.02094,0.165285,0.17043
481,Point ZM,1,0.965277,0.304827,1.02094,0.165285,-0.809453
482,Point ZM,1,0.965277,0.304827,1.02094,0.165285,-0.809453
483,Point ZM,1,0.965277,0.304827,1.02094,0.165285,-0.809453
486,Point ZM,1,0.965277,-0.186688,1.02094,0.165285,0.083882
487,Point ZM,1,0.965277,-0.159533,1.02094,0.165285,0.17043
488,Point ZM,1,0.965277,0.304827,1.02094,0.165285,0.17043
491,Point ZM,1,0.965277,-0.186688,1.02094,0.165285,0.083882
492,Point ZM,1,0.965277,0.616158,1.02094,0.165285,0.17043
499,Point ZM,1,0.965277,-0.159533,1.02094,0.165285,-0.809453
500,Point ZM,1,-0.431997,0.616158,1.60759,0.165285,0.543944
502,Point ZM,1,0.496723,-1.03019,-1.03193,0.165285,-0.809453
503,Point ZM,1,0.965277,0.304827,-1.46465,0.165285,0.083882
504,Point ZM,1,0.965277,0.304827,2.61886,0.165285,0.083882
505,Point ZM,1,-0.431997,-1.03019,0.341524,0.165285,0.543944
513,Point ZM,1,0.965277,0.616158,-0.202755,0.165285,0.543944
519,Point ZM,1,0.965277,0.304827,-0.202755,0.165285,0.543944
520,Point ZM,1,0.496723,0.616158,0.341524,0.165285,0.083882
521,Point ZM,1,-0.431997,-0.159533,1.20354,0.165285,0.083882
522,Point ZM,1,0.965277,-0.159533,-0.202755,0.165285,0.083882
524,Point ZM,1,-0.431997,-0.159533,-0.626496,0.165285,0.083882
526,Point ZM,1,-0.873904,-0.159533,-0.202755,0.165285,0.083882
527,Point ZM,1,0.496723,0.304827,-0.626496,0.165285,0.543944
528,Point ZM,1,0.965277,0.616158,-0.626496,0.165285,0.083882
529,Point ZM,1,0.496723,-0.159533,-0.626496,0.165285,0.083882
530,Point ZM,1,0.965277,-0.159533,-0.626496,0.165285,0.17043
532,Point ZM,1,-0.431997,0.616158,-0.626496,0.165285,0.17043
533,Point ZM,1,-0.873904,-0.159533,-2.2218,0.165285,0.17043
534,Point ZM,1,-0.873904,-0.159533,-2.2218,0.165285,0.17043
536,Point ZM,1,-1.11444,0.616158,-0.626496,0.165285,0.17043
537,Point ZM,1,0.965277,0.304827,1.02094,0.165285,0.543944
539,Point ZM,1,-0.873904,-0.159533,-2.2218,0.165285,0.17043
540,Point ZM,1,0.496723,-0.186688,1.26205,0.165285,0.543944
541,Point ZM,1,0.496723,0.304827,-0.202755,0.165285,-0.809453
542,Point ZM,1,0.965277,0.304827,-0.682033,0.165285,0.17043
543,Point ZM,1,0.965277,0.304827,-0.202755,0.165285,0.543944
547,Point ZM,1,-0.431997,0.616158,-0.202755,0.165285,0.543944
548,Point ZM,1,0.965277,0.304827,-0.202755,0.165285,0.543944
549,Point ZM,1,0.965277,-0.186688,-0.626496,0.165285,0.543944
550,Point ZM,1,-0.873904,-0.159533,-2.2218,0.165285,0.17043
551,Point ZM,1,-0.873904,-0.159533,-2.2218,0.165285,0.17043
557,Point ZM,1,-0.431997,-0.186688,-0.202755,0.165285,0.543944
558,Point ZM,1,0.965277,-1.03019,-0.626496,0.165285,0.543944
559,Point ZM,1,0.965277,-0.186688,-0.626496,0.165285,0.543944
560,Point ZM,1,0.496723,-0.159533,-0.626496,0.165285,0.543944
562,Point ZM,1,0.965277,-0.186688,-0.202755,0.165285,0.543944
563,Point ZM,1,0.965277,-0.159533,-0.202755,0.165285,0.543944
564,Point ZM,1,0.965277,-0.159533,-0.202755,0.165285,0.543944
565,Point ZM,1,0.496723,0.304827,-0.202755,0.165285,0.543944
566,Point ZM,1,0.496723,0.304827,-0.202755,0.165285,0.543944
569,Point ZM,1,-0.431997,0.304827,-0.202755,0.165285,0.543944
570,Point ZM,1,0.496723,-0.186688,-0.626496,0.165285,0.17043
571,Point ZM,1,0.496723,0.616158,0.143557,0.165285,-0.298904
573,Point ZM,1,0.496723,0.616158,2.61886,0.165285,0.543944
576,Point ZM,1,0.965277,0.304827,-0.202755,0.165285,0.543944
577,Point ZM,1,0.965277,-0.186688,-0.202755,0.165285,0.543944
579,Point ZM,1,-0.431997,-0.159533,-0.202755,0.165285,0.543944
